PassengerId,Predicted,Survived
1,0,0
2,1,1
3,1,1
4,1,1
5,0,0
6,0,0
7,0,0
8,0,0
9,1,1
10,1,1
11,1,1
12,1,1
13,0,0
14,0,0
15,1,0
16,1,1
17,0,0
18,0,1
19,0,0
20,1,1
21,0,0
22,0,1
23,1,1
24,0,1
25,0,0
26,1,1
27,0,0
28,0,0
29,1,1
30,0,0
31,0,0
32,1,1
33,1,1
34,0,0
35,0,0
36,0,0
37,0,1
38,0,0
39,0,0
40,1,1
41,0,0
42,1,0
43,0,0
44,1,1
45,0,1
46,0,0
47,0,0
48,1,1
49,0,0
50,0,0
51,0,0
52,0,0
53,1,1
54,1,1
55,1,0
56,1,1
57,1,1
58,0,0
59,1,1
60,0,0
61,1,0
62,1,1
63,0,0
64,0,0
65,0,0
66,1,1
67,1,1
68,0,0
69,1,1
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,1,1
76,0,0
77,0,0
78,0,0
79,1,1
80,0,1
81,0,0
82,0,1
83,1,1
84,0,0
85,1,1
86,1,1
87,0,0
88,0,0
89,1,1
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,1,1
99,1,1
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,1
108,0,1
109,0,0
110,1,1
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,1,1
125,0,0
126,1,1
127,0,0
128,0,1
129,1,1
130,1,0
131,0,0
132,0,0
133,0,0
134,1,1
135,0,0
136,0,0
137,1,1
138,1,0
139,0,0
140,0,0
141,0,0
142,0,1
143,1,1
144,0,0
145,0,0
146,0,0
147,0,1
148,0,0
149,0,0
150,0,0
151,0,0
152,1,1
153,0,0
154,0,0
155,0,0
156,0,0
157,1,1
158,0,0
159,0,0
160,0,0
161,1,0
162,1,1
163,0,0
164,0,0
165,0,0
166,1,1
167,1,1
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,1,1
174,0,0
175,0,0
176,0,0
177,0,0
178,1,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,1,1
185,1,1
186,0,0
187,1,1
188,0,1
189,0,0
190,0,0
191,1,1
192,0,0
193,0,1
194,1,1
195,1,1
196,1,1
197,0,0
198,0,0
199,1,1
200,1,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,1
206,0,0
207,0,0
208,1,1
209,1,1
210,1,1
211,0,0
212,1,1
213,0,0
214,0,0
215,0,0
216,1,1
217,1,1
218,0,0
219,1,1
220,0,0
221,0,1
222,0,0
223,0,0
224,0,0
225,0,1
226,0,0
227,0,1
228,0,0
229,0,0
230,0,0
231,1,1
232,0,0
233,0,0
234,1,1
235,1,0
236,1,0
237,0,0
238,1,1
239,0,0
240,0,0
241,0,0
242,1,1
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,1,1
249,1,1
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,0,0
262,1,1
263,1,0
264,0,0
265,1,0
266,0,0
267,0,0
268,0,1
269,1,1
270,1,1
271,1,0
272,0,1
273,1,1
274,0,0
275,1,1
276,1,1
277,0,0
278,0,0
279,0,0
280,1,1
281,0,0
282,0,0
283,0,0
284,0,1
285,0,0
286,0,0
287,0,1
288,0,0
289,0,1
290,1,1
291,1,1
292,1,1
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,1,1
300,1,1
301,1,1
302,1,1
303,0,0
304,1,1
305,0,0
306,1,1
307,1,1
308,1,1
309,0,0
310,1,1
311,1,1
312,1,1
313,1,0
314,0,0
315,0,0
316,0,1
317,1,1
318,0,0
319,1,1
320,1,1
321,0,0
322,0,0
323,1,1
324,1,1
325,0,0
326,1,1
327,0,0
328,1,1
329,0,1
330,1,1
331,1,1
332,0,0
333,0,0
334,0,0
335,1,1
336,0,0
337,0,0
338,1,1
339,0,1
340,0,0
341,1,1
342,1,1
343,0,0
344,0,0
345,0,0
346,1,1
347,1,1
348,1,1
349,1,1
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,1,1
358,1,0
359,1,1
360,1,1
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,0,0
373,0,0
374,0,0
375,0,0
376,1,1
377,1,1
378,0,0
379,0,0
380,0,0
381,1,1
382,1,1
383,1,0
384,1,1
385,0,0
386,0,0
387,0,0
388,1,1
389,0,0
390,1,1
391,1,1
392,0,1
393,0,0
394,1,1
395,1,1
396,0,0
397,0,0
398,0,0
399,0,0
400,1,1
401,0,1
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,1,1
409,0,0
410,0,0
411,0,0
412,0,0
413,1,1
414,0,0
415,1,1
416,0,0
417,1,1
418,1,1
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,1,1
428,1,1
429,0,0
430,1,1
431,0,1
432,1,1
433,1,1
434,0,0
435,0,0
436,1,1
437,0,0
438,1,1
439,0,0
440,0,0
441,1,1
442,0,0
443,0,0
444,1,1
445,0,1
446,1,1
447,1,1
448,0,1
449,1,1
450,0,1
451,0,0
452,0,0
453,0,0
454,1,1
455,0,0
456,0,1
457,0,0
458,1,1
459,1,1
460,0,0
461,0,1
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,1,1
471,0,0
472,0,0
473,1,1
474,1,1
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,1,1
481,0,0
482,0,0
483,0,0
484,0,1
485,1,1
486,0,0
487,1,1
488,0,0
489,0,0
490,1,1
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,1,1
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,1,1
506,0,0
507,1,1
508,0,1
509,0,0
510,1,1
511,0,1
512,0,0
513,1,1
514,1,1
515,0,0
516,0,0
517,1,1
518,0,0
519,1,1
520,0,0
521,1,1
522,0,0
523,0,0
524,1,1
525,0,0
526,0,0
527,1,1
528,0,0
529,0,0
530,0,0
531,1,1
532,0,0
533,0,0
534,1,1
535,0,0
536,1,1
537,0,0
538,1,1
539,0,0
540,1,1
541,1,1
542,0,0
543,0,0
544,0,1
545,0,0
546,0,0
547,1,1
548,0,1
549,0,0
550,0,1
551,1,1
552,0,0
553,0,0
554,0,1
555,1,1
556,0,0
557,1,1
558,1,0
559,1,1
560,1,1
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,1
571,0,1
572,1,1
573,0,1
574,1,1
575,0,0
576,0,0
577,1,1
578,1,1
579,0,0
580,1,1
581,1,1
582,1,1
583,0,0
584,0,0
585,0,0
586,1,1
587,0,0
588,1,1
589,0,0
590,0,0
591,0,0
592,1,1
593,0,0
594,0,0
595,0,0
596,0,0
597,1,1
598,0,0
599,0,0
600,1,1
601,1,1
602,0,0
603,1,0
604,0,0
605,1,1
606,0,0
607,0,0
608,1,1
609,1,1
610,1,1
611,0,0
612,0,0
613,1,1
614,0,0
615,0,0
616,1,1
617,0,0
618,0,0
619,1,1
620,0,0
621,0,0
622,1,1
623,1,1
624,0,0
625,0,0
626,0,0
627,0,0
628,1,1
629,0,0
630,0,0
631,1,1
632,0,0
633,1,1
634,0,0
635,0,0
636,1,1
637,1,0
638,0,0
639,0,0
640,0,0
641,0,0
642,1,1
643,0,0
644,1,1
645,1,1
646,1,1
647,0,0
648,0,1
649,0,0
650,1,1
651,0,0
652,1,1
653,0,0
654,1,1
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,1,1
662,0,0
663,0,0
664,0,0
665,0,1
666,0,0
667,0,0
668,0,0
669,0,0
670,1,1
671,1,1
672,0,0
673,0,0
674,0,1
675,0,0
676,0,0
677,0,0
678,1,1
